zip,x,y,city,case,death
36556,72.23015833,919.2138103,MALCOLM,2513,51
36558,49.06738333,882.3441699,MILLRY,2513,51
36559,126.1432708,1131.977546,MONTROSE,37224,552
36560,95.4644125,1001.451798,MOUNT VERNON,72497,1339
36561,188.6313375,1202.84932,ORANGE BEACH,37224,552
36562,171.9381125,1011.537712,PERDIDO,37224,552
36564,122.7510458,1153.736583,POINT CLEAR,37224,552
36567,189.4589292,1084.704751,ROBERTSDALE,37224,552
36568,53.81810417,1149.103972,SAINT ELMO,72497,1339
36569,89.01914583,882.5059396,SAINT STEPHENS,2513,51
36571,83.47980417,1054.450032,SARALAND,72497,1339
36572,89.45702917,1126.219854,SATSUMA,72497,1339
36574,184.2360542,1143.356359,SEMINOLE,37224,552
36575,53.29346667,1077.23865,SEMMES,72497,1339
36576,158.5625,1140.857243,SILVERHILL,37224,552
36578,159.7400458,1057.338705,STAPLETON,37224,552
36579,146.1122,1001.754171,STOCKTON,37224,552
36580,164.8223125,1155.56695,SUMMERDALE,37224,552
36581,104.27045,928.5649576,SUNFLOWER,2513,51
36582,67.059375,1151.063099,THEODORE,72497,1339
36583,72.23015833,919.2138103,TIBBIE,2513,51
36584,29.6949625,967.8435056,VINEGAR BEND,2513,51
36585,72.23015833,919.2138103,WAGARVILLE,2513,51
36587,44.29629583,1068.897178,WILMER,72497,1339
36590,57.06639167,1150.713354,THEODORE,72497,1339
36602,97.52164167,1099.200025,MOBILE,72497,1339
36603,95.3527875,1099.507186,MOBILE,72497,1339
36604,93.53643333,1101.30404,MOBILE,72497,1339
36605,83.36739583,1122.015857,MOBILE,72497,1339
36606,86.065,1105.574811,MOBILE,72497,1339
36607,89.4190375,1075.077185,MOBILE,72497,1339
36608,56.836875,1112.434402,MOBILE,72497,1339
36609,70.3194125,1134.603407,MOBILE,72497,1339
36610,91.20582083,1089.496109,MOBILE,72497,1339
36611,84.95854167,1079.949427,MOBILE,72497,1339
36612,83.5581375,1085.341751,MOBILE,72497,1339
36613,68.22536667,1079.704756,EIGHT MILE,72497,1339
36615,94.47643333,1112.126233,MOBILE,72497,1339
36616,81.8632,1104.577483,MOBILE,72497,1339
36617,87.86666667,1093.354393,MOBILE,72497,1339
36618,77.48730417,1101.896187,MOBILE,72497,1339
36619,64.27012083,1157.004231,MOBILE,72497,1339
36688,72.65981667,1098.141718,MOBILE,72497,1339
36693,72.49335833,1113.474062,MOBILE,72497,1339
36695,62.21465417,1105.60782,MOBILE,72497,1339
36701,291.6249833,660.4233093,SELMA,4949,200
36703,310.3638833,651.9961645,SELMA,4949,200
36720,232.9883708,733.0322179,ALBERTA,1687,39
36722,190.918475,756.8063212,ARLINGTON,1687,39
36723,244.7575625,748.9443626,BOYKIN,1687,39
36726,233.5776333,770.1228428,CAMDEN,1687,39
36727,137.8286458,873.4201249,CAMPBELL,4754,84
36728,210.8748708,721.2124443,CATHERINE,1687,39
36732,141.02445,672.7125175,DEMOPOLIS,3378,90
36736,150.5117917,703.8728455,DIXONS MILLS,3378,90
36738,161.2977042,677.4965676,FAUNSDALE,3378,90
36740,137.192775,615.8126596,FORKLAND,1266,44
36742,170.8819833,637.6293996,GALLION,3111,88
36744,187.7261958,593.3589198,GREENSBORO,3111,88
36748,155.6549625,688.5886294,LINDEN,3378,90
36749,338.9575083,641.105937,JONES,9967,148
36750,333.0876,560.0227638,MAPLESVILLE,6633,162
36751,189.3257625,794.2101545,LOWER PEACH TREE,1687,39
36752,371.6058625,695.5487596,LOWNDESBORO,1747,64
36753,251.14075,757.5962715,MC WILLIAMS,1687,39
36754,164.2379458,737.1749845,MAGNOLIA,3378,90
36756,233.8798042,616.2579043,MARION,1383,40
36758,287.57045,647.7168259,PLANTERSVILLE,4949,200
36759,251.07025,671.8845186,MARION JUNCTION,4949,200
36761,290.0976792,721.8539797,MINTER,4949,200
36763,116.5830792,706.3069508,MYRTLEWOOD,3378,90
36765,191.609375,621.500302,NEWBERN,3111,88
36766,287.9110042,783.0646734,OAK HILL,1687,39
36767,259.4433,696.6725805,ORRVILLE,4949,200
36768,293.7158958,786.7130597,PINE APPLE,1687,39
36769,195.691325,771.0196317,PINE HILL,1687,39
36773,228.779325,688.3578178,SAFFORD,4949,200
36775,287.0967292,715.7936622,SARDIS,4949,200
36776,164.2751542,579.2222106,SAWYERVILLE,3111,88
36782,139.4374167,736.5838446,SWEET WATER,3378,90
36783,169.60515,693.513787,THOMASTON,3378,90
36784,151.81095,833.9314274,THOMASVILLE,4754,84
36785,329.01975,688.0967688,TYLER,4949,200
36786,203.9457,657.2677916,UNIONTOWN,1383,40
36790,326.8305292,587.3958657,STANTON,6633,162
36792,318.655075,535.0459705,RANDOLPH,4246,86
36793,305.7537708,545.087033,LAWLEY,4246,86
36801,617.2280583,613.1958704,OPELIKA,23519,246
36804,633.0698,624.3723447,OPELIKA,23519,246
36830,602.4731917,631.7426947,AUBURN,23519,246
36832,592.5462042,620.5311955,AUBURN,23519,246
36849,625.8202458,624.0213397,AUBURN UNIVERSITY,23519,246
36850,556.3438667,566.0105117,CAMP HILL,7079,198
36852,640.1987208,572.3779902,CUSSETA,5607,142
36853,548.38285,569.4401812,DADEVILLE,7079,198
36854,642.3305625,546.5517798,VALLEY,5607,142
36855,633.2188292,538.0578609,FIVE POINTS,5607,142
36856,694.7218542,694.9951644,FORT MITCHELL,6352,59
36858,636.7996417,695.1649974,HATCHECHUBBEE,6352,59
36859,692.5651417,711.7950268,HOLY TRINITY,6352,59
36860,623.210375,709.7033593,HURTSBORO,6352,59
36861,533.0375458,542.7378442,JACKSONS GAP,7079,198
36862,618.1678625,539.8280048,LAFAYETTE,5607,142
36863,636.0709458,542.887519,LANETT,5607,142
36865,625.8202458,624.0213397,LOACHAPOKA,23519,246
36866,557.6015083,634.4910163,NOTASULGA,2341,63
36867,654.2317458,675.1393155,PHENIX CITY,6352,59
36869,672.2339208,689.4055414,PHENIX CITY,6352,59
36870,669.8874458,649.2291966,PHENIX CITY,6352,59
36871,661.7415625,727.7394246,PITTSVIEW,6352,59
36874,651.6269667,623.450862,SALEM,23519,246
36875,668.7529833,704.7434287,SEALE,6352,59
36877,676.2483083,629.0283901,SMITHS,23519,246
36879,583.3340083,597.9784284,WAVERLY,23519,246
36901,79.12584167,652.0037239,BELLAMY,1329,38
36904,53.08705833,740.4970595,BUTLER,882,27
36907,42.06497083,659.9634499,CUBA,1329,38
36908,43.2814875,789.2686183,GILBERTOWN,882,27
36910,67.355475,768.646001,JACHIN,882,27
36912,43.72818333,710.9544289,LISMAN,882,27
36913,67.355475,768.646001,MELVIN,882,27
36915,67.355475,768.646001,NEEDHAM,882,27
36916,97.0741625,716.9565396,PENNINGTON,882,27
36919,42.21595833,782.8605714,SILAS,882,27
36921,77.08643333,791.0017215,TOXEY,882,27
36922,93.84369583,716.7305155,WARD,882,27
36925,68.81110417,657.6044339,YORK,1329,38
